Date,Open,High,Low,Close,Volume
2026-06-04,68.0,71.35,59.89,60.38,29612000
2026-06-05,59.8,59.89,51.15,56.26,10670500
2026-06-08,58.66,61.8,57.51,58.4,4773700
2026-06-09,61.3,62.78,54.5,54.94,4572600
2026-06-10,54.82,55.35,50.1,51.4,5907400
2026-06-11,51.5,57.34,51.0,56.49,3137400
2026-06-12,56.15,57.48,54.25,55.26,1258300
2026-06-15,57.27,61.0,55.26,57.91,3115000
2026-06-16,58.75,59.33,54.64,55.43,1962200
2026-06-17,55.76,65.6,55.7,62.75,3663800
2026-06-18,63.41,72.74,62.0,69.8,5269900
2026-06-22,69.5,77.85,66.75,68.27,3992000
2026-06-23,66.52,81.48,66.1,77.46,5582900
2026-06-24,77.61,78.5,67.85,71.1,4295700
2026-06-25,72.63,72.81,64.53,71.68,2846800
2026-06-26,67.25,79.3,66.67,75.57,3972100
2026-06-29,79.5,80.5,70.61,72.84,4936600
2026-06-30,72.98,82.3,69.76,81.74,3780100
2026-07-01,80.13,81.84,75.28,78.41,4783600
2026-07-02,78.0,80.61,71.52,74.56,3097800
2026-07-06,74.44,86.79,74.2,83.17,5285900
2026-07-07,83.17,83.17,76.1,77.6,2826900
2026-07-08,76.05,78.88,75.1,75.61,1209100
2026-07-09,77.0,77.69,73.35,73.51,1062800
2026-07-10,73.37,73.64,69.27,70.45,1185100
2026-07-13,70.0,70.52,62.93,64.09,1594500
2026-07-14,65.0,67.31,63.01,66.63,1400400
2026-07-15,67.04,69.5,58.78,60.51,1945900
2026-07-16,59.02,59.7,56.52,56.52,1302400
2026-07-17,54.58,58.86,52.7,56.07,1343900
2026-07-20,57.06,60.89,56.52,57.35,1345400
2026-07-21,58.35,59.3,55.25,58.58,1276600
2026-07-22,57.5,59.97,53.7,54.88,1519200
2026-07-23,53.7,57.66,53.07,56.46,1367600
2026-07-24,56.41,56.74,52.0,52.29,1171200
2026-07-27,53.5,56.79,51.11,52.83,1460200
2026-07-28,52.0,52.89,47.13,49.78,1677100
2026-07-29,49.57,50.82,47.06,47.34,1396300
2026-07-30,48.12,52.44,48.0,51.55,1043100
2026-07-31,52.96,54.33,50.42,51.41,1163400
2026-08-03,51.4,56.76,49.38,55.65,1645600
2026-08-04,57.5,58.77,54.79,58.14,1408300
2026-08-05,57.13,57.75,55.16,56.91,910700
2026-08-06,55.0,60.37,54.33,58.88,1015500
2026-08-07,60.0,62.47,58.4,58.71,1077800
2026-08-10,58.71,59.45,55.96,56.59,737900
2026-08-11,56.82,57.4,53.89,56.06,1561200
2026-08-12,59.65,72.4,57.52,71.74,4584200
2026-08-13,69.66,71.47,66.09,68.5,2181300
2026-08-14,68.4,70.5,62.86,63.59,2614000
2026-08-17,63.54,67.4,62.37,66.01,1485200
2026-08-18,63.25,64.33,58.91,59.5,1740460
